udi,product_id,type,tool_wear_min
4172,M19031,M,129
451,M15310,M,81
4762,H34175,H,66
2975,M17834,M,90
835,H30248,H,177
3395,L50574,L,83
1186,L48365,L,29
1177,M16036,M,6
2652,L49831,L,165
693,L47872,L,58
2658,M17517,M,178
257,L47436,L,13
4741,L51920,L,10
983,L48162,L,138
4768,L51947,L,84
224,L47403,L,160
526,L47705,L,53
675,L47854,L,0
2792,H32205,H,66
3451,L50630,L,222
704,H30117,H,87
3646,L50825,L,83
545,M15404,M,105
551,L47730,L,119
4734,L51913,L,223
655,L47834,L,163
4355,L51534,L,145
2763,L49942,L,214
421,M15280,M,5
216,L47395,L,140
795,H30208,H,79
2680,L49859,L,14
135,L47314,L,138
4011,M18870,M,171
4400,L51579,L,34
3400,L50579,L,94
3589,M18448,M,146
4187,M19046,M,163
908,M15767,M,161
2953,H32366,H,29
867,L48046,L,53
271,H29684,H,51
1243,L48422,L,197
1025,L48204,L,42
4077,M18936,M,96
445,L47624,L,68
656,L47835,L,165
4519,L51698,L,123
329,H29742,H,205
4620,H34033,H,167
3475,M18334,M,65
1188,M16047,M,33
120,L47299,L,106
715,L47894,L,116
4073,L51252,L,87
2590,L49769,L,208
4709,L51888,L,161
6544,L53723,L,99
5239,L52418,L,40
6284,L53463,L,62
4641,L51820,L,219
277,M15136,M,67
9638,L56817,L,160
3408,L50587,L,115
5808,M20667,M,179
5398,M20257,M,241
4356,H33769,H,147
4579,L51758,L,63
5304,L52483,L,197
5233,L52412,L,27
3869,M18728,M,5
6014,L53193,L,38
5168,L52347,L,63
767,L47946,L,9
5352,M20211,M,110
332,M15191,M,218
4775,L51954,L,103
5265,L52444,L,98
322,L47501,L,190
5256,M20115,M,77
1099,M15958,M,27
5276,L52455,L,124
535,L47714,L,74
4330,L51509,L,79
839,H30252,H,189
3452,L50631,L,0
5263,L52442,L,94
5805,L52984,L,172
7173,M22032,M,10
3480,M18339,M,76
5804,L52983,L,170
3424,L50603,L,153
556,M15415,M,134
5846,M20705,M,43
6851,M21710,M,13
5881,L53060,L,129
424,L47603,L,13
5327,M20186,M,42
4791,L51970,L,145
3863,H33276,H,218
4588,M19447,M,82
173,M15032,M,29
7134,M21993,M,116
5340,M20199,M,79
7004,L54183,L,206
6962,M21821,M,93
7585,L54764,L,187
539,M15398,M,88
4041,L51220,L,11
790,M15649,M,67
7310,L54489,L,133
555,H29968,H,129
4640,L51819,L,217
441,L47620,L,54
3373,L50552,L,21
439,L47618,L,49
5294,M20153,M,171
5888,H35301,H,144
2999,L50178,L,155
5285,M20144,M,147
413,L47592,L,203
6608,L53787,L,48
5142,L52321,L,205
5853,H35266,H,59
2904,M17763,M,108
5909,M20768,M,205
6967,L54146,L,109
1030,M15889,M,53
6994,M21853,M,176
1167,M16026,M,210
5139,M19998,M,196
7456,M22315,M,68
401,L47580,L,176
7263,M22122,M,16
3381,L50560,L,43
339,L47518,L,15
191,L47370,L,72
6969,L54148,L,114
307,L47486,L,150
997,M15856,M,177
5326,L52505,L,40
5816,L52995,L,200
4523,M19382,M,131
5247,L52426,L,56
7491,M22350,M,165
6981,L54160,L,141
7223,M22082,M,134
5863,L53042,L,86
327,L47506,L,201
4161,M19020,M,97
4371,L51550,L,197
7430,L54609,L,5
6501,M21360,M,201
5961,L53140,L,121
885,L48064,L,99
6129,L53308,L,111
5413,L52592,L,24
6148,M21007,M,162
744,L47923,L,193
4021,L51200,L,196
6222,M21081,M,118
3569,L50748,L,95
6481,L53660,L,149
7287,M22146,M,77
5191,L52370,L,126
5948,M20807,M,92
4668,H34081,H,50
5231,M20090,M,22
868,H30281,H,55
3592,M18451,M,153
1239,M16098,M,184
6236,L53415,L,157
5127,L52306,L,170
6972,M21831,M,121
2811,L49990,L,113
4639,L51818,L,215
7136,L54315,L,122
7459,M22318,M,76
5203,L52382,L,161
961,L48140,L,88
7121,L54300,L,85
7486,L54665,L,154
86,M14945,M,17
6961,L54140,L,91
6126,L53305,L,105
6210,L53389,L,87
4050,L51229,L,33
5258,L52437,L,82
3377,M18236,M,30
7298,L54477,L,107
6519,H35932,H,30
42,L47221,L,115
896,M15755,M,126
6987,L54166,L,161
3476,L50655,L,68
6142,L53321,L,146
4646,L51825,L,232
5448,L52627,L,109
5425,L52604,L,54
7499,M22358,M,184
180,L47359,L,45
6516,L53695,L,21
2933,L50112,L,181
3361,L50540,L,206
5990,L53169,L,209
4563,L51742,L,19
559,L47738,L,142
6525,L53704,L,47
3468,L50647,L,49
6139,M20998,M,139
5821,L53000,L,210
5484,M20343,M,200
5308,L52487,L,211
6230,L53409,L,143
59,M14918,M,162
7368,M22227,M,67
3681,L50860,L,172
7421,L54600,L,201
799,M15658,M,91
2994,M17853,M,143
3391,H32804,H,72
6482,L53661,L,151
7465,L54644,L,92
3868,M18727,M,2
3444,L50623,L,204
843,M15702,M,201
4733,L51912,L,221
6656,L53835,L,171
53,H29466,H,147
4642,H34055,H,221
4655,M19514,M,16
1211,L48390,L,103
7297,H36710,H,102
2645,L49824,L,146
4678,H34091,H,80
3404,L50583,L,106
7454,H36867,H,61
1128,M15987,M,113
154,L47333,L,194
901,L48080,L,140
5758,L52937,L,57
4178,L51357,L,144
970,L48149,L,109
358,L47537,L,66
464,L47643,L,118
3659,M18518,M,113
6132,H35545,H,118
253,L47432,L,5
7246,L54425,L,195
6616,L53795,L,68
1020,L48199,L,31
7132,M21991,M,111
7408,H36821,H,168
5602,L52781,L,86
7505,L54684,L,201
646,L47825,L,140
4162,H33575,H,100
876,M15735,M,76
5493,M20352,M,5
5655,L52834,L,0
6538,M21397,M,85
5994,M20853,M,218
7424,L54603,L,208
5275,L52454,L,122
6135,L53314,L,127
410,L47589,L,196
2201,L49380,L,93
7155,L54334,L,174
5841,M20700,M,31
2081,L49260,L,207
2623,M17482,M,80
6381,L53560,L,102
2356,M17215,M,44
5605,L52784,L,92
7300,L54479,L,111
3379,L50558,L,38
5472,L52651,L,170
6966,L54145,L,107
6901,L54080,L,150
418,L47597,L,213
2943,L50122,L,0
5823,M20682,M,214
1550,L48729,L,107
1504,L48683,L,206
2302,M17161,M,138
7133,L54312,L,114
5357,H34770,H,125
4554,L51733,L,0
6700,M21559,M,48
6212,L53391,L,91
6159,L53338,L,188
5511,L52690,L,54
2139,L49318,L,154
4113,H33526,H,187
3515,H32928,H,174
6211,L53390,L,89
7504,M22363,M,198
1681,M16540,M,219
7141,L54320,L,134
7237,M22096,M,169
6567,L53746,L,161
4513,M19372,M,110
5482,L52661,L,196
7479,L54658,L,133
4541,M19400,M,176
1004,L48183,L,194
3578,M18437,M,118
3178,M18037,M,183
1611,L48790,L,33
6897,M21756,M,140
5806,M20665,M,174
6172,L53351,L,225
3844,L51023,L,167
543,L47722,L,98
128,L47307,L,122
3181,M18040,M,191
4215,L51394,L,15
1027,L48206,L,46
1862,M16721,M,64
6978,L54157,L,135
2082,M16941,M,209
3193,M18052,M,221
7391,M22250,M,126
2937,M17796,M,192
7665,H37078,H,175
5978,L53157,L,171
195,M15054,M,86
7544,L54723,L,82
3778,M18637,M,210
7125,M21984,M,95
3467,L50646,L,47
532,L47711,L,68
4358,L51537,L,154
3649,M18508,M,90
7242,M22101,M,182
5424,L52603,L,52
5154,L52333,L,23
7660,L54839,L,163
4322,L51501,L,59
4663,H34076,H,34
6496,M21355,M,187
5141,M20000,M,202
6587,L53766,L,208
4380,M19239,M,220
6324,L53503,L,165
2596,M17455,M,13
6888,L54067,L,116
305,L47484,L,146
6926,M21785,M,210
2651,L49830,L,163
1888,M16747,M,126
521,L47700,L,42
1898,L49077,L,155
6922,L54101,L,202
6666,L53845,L,197
1672,L48851,L,196
6322,L53501,L,160
1181,H30594,H,16
4193,M19052,M,181
6844,L54023,L,213
6861,L54040,L,41
6617,M21476,M,70
4212,L51391,L,8
6740,L53919,L,154
5476,L52655,L,179
5392,L52571,L,228
6542,L53721,L,95
231,L47410,L,175
6971,L54150,L,119
902,H30315,H,142
6815,H36228,H,136
4635,L51814,L,205
6524,M21383,M,44
4101,L51280,L,161
971,L48150,L,111
4760,L51939,L,62
5973,L53152,L,155
4559,L51738,L,11
7539,M22398,M,68
4555,L51734,L,2
5475,M20334,M,176
7622,L54801,L,67
3782,L50961,L,7
7276,L54455,L,48
5136,L52315,L,190
1909,L49088,L,182
7438,L54617,L,24
2668,M17527,M,208
6988,L54167,L,163
2136,L49315,L,148
7402,L54581,L,154
2240,L49419,L,193
5180,M20039,M,101
6604,M21463,M,34
6979,L54158,L,137
4286,L51465,L,187
165,M15024,M,5
6121,M20980,M,93
2135,L49314,L,146
4009,M18868,M,166
5210,M20069,M,180
5984,H35397,H,188
6201,L53380,L,64
862,M15721,M,38
4076,L51255,L,94
7225,L54404,L,139
5743,L52922,L,11
297,L47476,L,122
797,M15656,M,86
8361,L55540,L,5
8337,L55516,L,147
7617,M22476,M,55
647,M15506,M,142
1616,L48795,L,46
1916,L49095,L,202
6850,L54029,L,11
8886,M23745,M,101
5926,M20785,M,38
7944,L55123,L,8
2795,L49974,L,75
1843,H31256,H,7
7148,L54327,L,156
2437,H31850,H,55
1891,L49070,L,137
7639,L54818,L,110
962,L48141,L,90
4199,M19058,M,195
7641,L54820,L,114
2233,L49412,L,177
4351,M19210,M,135
6819,M21678,M,148
8692,L55871,L,0
7715,L54894,L,78
6686,L53865,L,15
8357,M23216,M,200
7766,H37179,H,8
4495,H33908,H,62
141,L47320,L,157
7774,L54953,L,34
4232,L51411,L,54
6348,L53527,L,17
7129,L54308,L,105
900,H30313,H,135
5337,L52516,L,71
5288,H34701,H,154
1840,L49019,L,0
6810,L53989,L,125
7733,L54912,L,130
3411,L50590,L,123
7440,L54619,L,28
7306,M22165,M,123
2007,M16866,M,22
3724,L50903,L,68
5838,M20697,M,22
8242,M23101,M,98
2550,L49729,L,114
2430,L49609,L,38
2210,L49389,L,116
333,M15192,M,0
1791,L48970,L,69
1758,M16617,M,190
6723,L53902,L,108
1923,L49102,L,9
6860,M21719,M,38
3471,L50650,L,56
2181,H31594,H,35
7980,M22839,M,99
5216,M20075,M,194
6486,L53665,L,162
7492,L54671,L,168
7428,L54607,L,0
5343,M20202,M,89
8746,L55925,L,138
3387,H32800,H,58
1609,L48788,L,29
8525,L55704,L,10
4654,M19513,M,13
4399,M19258,M,31
7150,L54329,L,161
8325,M23184,M,113
2119,H31532,H,96
8760,M23619,M,171
8355,L55534,L,196
3386,L50565,L,56
7254,L54433,L,217
1059,L48238,L,128
7892,L55071,L,107
8056,H37469,H,60
777,L47956,L,35
1238,M16097,M,181
1092,L48271,L,8
4727,M19586,M,207
3126,L50305,L,44
6998,M21857,M,187
6874,L54053,L,75
8229,M23088,M,69
5661,L52840,L,15
3417,L50596,L,135
7841,L55020,L,199
8055,L55234,L,58
4532,L51711,L,154
4268,L51447,L,148
8737,L55916,L,112
996,L48175,L,175
4496,L51675,L,67
5268,M20127,M,106
5944,L53123,L,82
8321,M23180,M,101
7708,H37121,H,59
8776,H38189,H,7
5156,H34569,H,27
6930,M21789,M,9
221,L47400,L,151
3176,L50355,L,179
522,L47701,L,44
3265,H32678,H,188
8668,M23527,M,147
5980,H35393,H,175
7128,L54307,L,103
5969,L53148,L,146
3130,L50309,L,53
4492,H33905,H,52
4667,M19526,M,47
7705,M22564,M,52
3093,M17952,M,170
8797,L55976,L,61
6256,L53435,L,204
4730,L51909,L,215
4539,L51718,L,172
2288,L49467,L,107
8088,L55267,L,147
8536,L55715,L,36
8324,H37737,H,108
6263,L53442,L,12
8269,M23128,M,177
2728,L49907,L,127
8076,L55255,L,117
4746,H34159,H,20
4547,M19406,M,191
8673,L55852,L,159
8661,L55840,L,130
7688,M22547,M,232
3413,L50592,L,127
8641,L55820,L,75
6910,L54089,L,172
7775,L54954,L,36
2729,L49908,L,129
6330,M21189,M,178
6863,M21722,M,48
2116,L49295,L,86
5943,L53122,L,80
8221,M23080,M,50
1278,M16137,M,76
529,M15388,M,60
3108,M17967,M,209
5467,M20326,M,157
4042,L51221,L,13
8159,L55338,L,118
4391,M19250,M,9
96,M14955,M,44
8677,M23536,M,171
2976,H32389,H,93
7684,L54863,L,222
1690,L48869,L,16
8358,L55537,L,203
4339,L51518,L,102
2899,M17758,M,96
1919,M16778,M,0
4092,M18951,M,135
6645,L53824,L,142
8707,L55886,L,39
7659,M22518,M,160
2905,L50084,L,111
392,L47571,L,152
713,L47892,L,112
8086,L55265,L,143
2747,L49926,L,173
1185,L48364,L,27
6693,M21552,M,30
2881,L50060,L,48
1821,L49000,L,153
5504,H34917,H,37
4389,L51568,L,4
7526,H36939,H,33
1737,L48916,L,132
6576,M21435,M,183
5903,L53082,L,186
2368,M17227,M,80
1102,H30515,H,38
8730,L55909,L,91
1403,M16262,M,171
7503,H36916,H,193
4112,M18971,M,184
7156,M22015,M,176
8745,M23604,M,135
644,M15503,M,132
8201,L55380,L,0
5959,L53138,L,117
440,M15299,M,51
6257,L53436,L,206
4769,L51948,L,86
6430,M21289,M,21
7367,H36780,H,62
1313,L48492,L,164
8106,L55285,L,189
1784,H31197,H,52
5401,L52580,L,251
993,L48172,L,167
457,H29870,H,98
5465,M20324,M,152
8808,M23667,M,85
7127,M21986,M,100
7521,L54700,L,21
7112,M21971,M,62
4312,M19171,M,32
4606,H34019,H,130
8244,H37657,H,104
6244,L53423,L,175
8542,L55721,L,49
3162,L50341,L,146
8104,M22963,M,184
6940,M21799,M,35
505,M15364,M,3
8303,L55482,L,49
4006,M18865,M,159
8717,M23576,M,61
8215,L55394,L,38
8786,L55965,L,36
8080,L55259,L,125
8564,L55743,L,104
5261,M20120,M,89
8120,L55299,L,18
4174,M19033,M,134
7906,M22765,M,139
3200,H32613,H,14
5811,L52990,L,189
5202,M20061,M,158
4084,M18943,M,114
6504,M21363,M,209
8084,L55263,L,139
1866,L49045,L,74
2128,H31541,H,123
6454,L53633,L,77
1912,M16771,M,191
3217,L50396,L,62
5968,L53147,L,144
5934,L53113,L,56
8077,L55256,L,119
1497,L48676,L,189
7961,H37374,H,52
6232,M21091,M,148
557,L47736,L,137
4637,L51816,L,210
1986,L49165,L,169
1223,L48402,L,135
4613,L51792,L,148
3846,L51025,L,171
3299,L50478,L,61
2517,L49696,L,31
7929,L55108,L,198
7652,M22511,M,144
6801,M21660,M,103
5328,M20187,M,45
7113,L54292,L,65
2424,M17283,M,23
7252,M22111,M,209
4675,L51854,L,71
6914,L54093,L,181
2403,L49582,L,171
8289,M23148,M,9
2344,L49523,L,17
3758,M18617,M,158
4764,L51943,L,74
5663,L52842,L,19
8119,L55298,L,16
4608,L51787,L,137
4758,L51937,L,58
4544,M19403,M,184
3663,M18522,M,124
1606,L48785,L,23
1517,L48696,L,18
274,L47453,L,61
4499,H33912,H,74
8556,L55735,L,87
2202,L49381,L,95
6807,L53986,L,119
4534,M19393,M,161
6401,L53580,L,160
264,M15123,M,30
94,L47273,L,40
2338,L49517,L,4
2482,L49661,L,163
6158,L53337,L,186
5474,L52653,L,174
6223,H35636,H,121
2895,L50074,L,85
2137,L49316,L,150
7761,M22620,M,200
8779,L55958,L,19
1579,L48758,L,174
2810,L49989,L,111
4083,L51262,L,112
3465,L50644,L,42
494,L47673,L,197
1136,L48315,L,133
1929,L49108,L,24
1750,L48929,L,171
2078,L49257,L,199
7087,L54266,L,215
5741,M20600,M,5
7702,H37115,H,39
6996,M21855,M,181
7361,L54540,L,50
7260,M22119,M,9
7668,L54847,L,185
7790,L54969,L,69
1339,L48518,L,5
5854,L53033,L,64
6673,L53852,L,214
2615,L49794,L,62
7530,L54709,L,45
2618,L49797,L,68
1541,M16400,M,86
3893,M18752,M,63
7756,M22615,M,188
185,L47364,L,59
7874,L55053,L,56
6227,H35640,H,134
3765,L50944,L,176
8575,L55754,L,132
749,H30162,H,203
8220,L55399,L,48
8768,L55947,L,192
2484,M17343,M,167
8356,L55535,L,198
3579,M18438,M,121
776,L47955,L,33
717,H30130,H,120
3245,M18104,M,135
2064,L49243,L,166
4664,L51843,L,39
2349,L49528,L,28
1310,L48489,L,158
6973,L54152,L,124
1619,L48798,L,55
6274,L53453,L,38
448,M15307,M,74
2666,L49845,L,201
552,L47731,L,121
196,L47375,L,89
5770,L52949,L,87
1893,M16752,M,141
7691,M22550,M,4
4609,M19468,M,139
8212,L55391,L,28
3383,L50562,L,47
2828,L50007,L,153
4381,L51560,L,223
8219,L55398,L,46
6435,M21294,M,33
8521,M23380,M,199
4568,M19427,M,32
4462,L51641,L,195
6894,L54073,L,133
5612,M20471,M,109
2913,L50092,L,129
4661,L51840,L,30
2299,L49478,L,132
2636,H32049,H,119
5348,L52527,L,100
5219,L52398,L,203
6345,H35758,H,8
5653,L52832,L,213
3800,L50979,L,49
917,M15776,M,184
8239,L55418,L,92
436,L47615,L,43
5319,L52498,L,21
7532,H36945,H,50
3568,L50747,L,93
2934,M17793,M,183
5908,H35321,H,200
5500,H34913,H,26
8581,L55760,L,146
5887,L53066,L,142
1183,L48362,L,23
2295,L49474,L,124
6408,M21267,M,177
1284,L48463,L,96
6660,L53839,L,180
6328,L53507,L,174
7158,L54337,L,182
206,M15065,M,114
6586,M21445,M,205
8843,L56022,L,189
2815,L49994,L,122
361,M15220,M,74
5654,L52833,L,215
2072,M16931,M,186
8260,L55439,L,146
4628,M19487,M,188
1302,L48481,L,142
2324,M17183,M,198
5164,M20023,M,50
4650,M19509,M,4
8672,L55851,L,157
1639,L48818,L,104
6344,L53523,L,6
7138,M21997,M,127
8562,L55741,L,100
1075,L48254,L,170
248,L47427,L,214
8823,L56002,L,132
