udi,machine_failure,twf,hdf,pwf,osf,rnf
4341,0,0,0,0,0,0
877,0,0,0,0,0,0
2829,0,0,0,0,0,0
411,0,0,0,0,0,0
477,0,0,0,0,0,0
3422,0,0,0,0,0,0
4643,1,0,1,0,1,0
4584,0,0,0,0,0,0
1015,0,0,0,0,0,0
4038,0,0,0,0,0,0
3534,0,0,0,0,0,0
1175,0,0,0,0,0,0
4546,0,0,0,0,0,0
3615,0,0,0,0,0,0
432,0,0,0,0,0,0
4352,0,0,0,0,0,0
167,0,0,0,0,0,0
4346,0,0,0,0,0,0
974,0,0,0,0,0,0
671,0,0,0,0,0,0
4342,0,0,0,0,0,0
1143,0,0,0,0,0,0
3186,0,0,0,0,0,0
2947,0,0,0,0,0,0
880,0,0,0,0,0,0
3860,0,0,0,0,0,0
3121,0,0,0,0,0,0
4509,0,0,0,0,0,0
1173,0,0,0,0,0,0
3847,0,0,0,0,0,0
3773,0,0,0,0,0,0
198,0,0,0,0,0,0
4242,0,0,0,0,0,0
1065,0,0,0,0,0,0
1203,0,0,0,0,0,0
4776,0,0,0,0,0,0
461,0,0,0,0,0,0
474,0,0,0,0,0,0
428,0,0,0,0,0,0
157,0,0,0,0,0,0
182,0,0,0,0,0,0
3446,0,0,0,0,0,0
427,0,0,0,0,0,0
3154,0,0,0,0,0,0
4549,0,0,0,0,0,0
4349,0,0,0,0,0,0
4337,0,0,0,0,0,0
258,0,0,0,0,0,0
4222,0,0,0,0,0,0
732,0,0,0,0,0,0
378,0,0,0,0,0,0
3172,0,0,0,0,0,0
1026,0,0,0,0,0,0
321,0,0,0,0,0,0
335,0,0,0,0,0,0
38,0,0,0,0,0,0
129,0,0,0,0,0,0
127,0,0,0,0,0,0
3450,0,0,0,0,0,0
298,0,0,0,0,0,0
3362,0,0,0,0,0,0
244,0,0,0,0,0,0
4510,0,0,0,0,0,0
2948,0,0,0,0,0,0
351,0,0,0,0,0,0
3575,0,0,0,0,0,0
2676,0,0,0,0,0,0
188,0,0,0,0,0,0
808,0,0,0,0,0,0
1248,0,0,0,0,0,0
2924,0,0,0,0,0,0
4601,1,0,1,0,0,0
420,0,0,0,0,0,0
3001,1,0,0,1,0,0
995,0,0,0,0,0,0
772,0,0,0,0,0,0
855,0,0,0,0,0,0
3623,0,0,0,0,0,0
4506,0,0,0,0,0,0
916,0,0,0,0,0,0
2812,0,0,0,0,0,0
2762,1,0,0,0,1,0
883,0,0,0,0,0,0
2653,0,0,0,0,0,0
1161,0,0,0,0,0,0
2784,0,0,0,0,0,0
3682,0,0,0,0,0,0
11,0,0,0,0,0,0
3729,0,0,0,0,0,0
4182,0,0,0,0,0,0
914,0,0,0,0,0,0
4560,0,0,0,0,0,0
705,0,0,0,0,0,0
316,0,0,0,0,0,0
3655,0,0,0,0,0,0
833,0,0,0,0,0,0
4,0,0,0,0,0,0
117,0,0,0,0,0,0
325,0,0,0,0,0,0
4638,0,0,0,0,0,0
4612,1,0,1,0,0,0
686,0,0,0,0,0,0
1193,0,0,0,0,0,0
910,0,0,0,0,0,0
4784,0,0,0,0,0,0
470,0,0,0,0,0,0
737,0,0,0,0,0,0
3002,0,0,0,0,0,0
3875,0,0,0,0,0,0
4366,0,0,0,0,0,0
841,0,0,0,0,0,0
81,0,0,0,0,0,0
4172,0,0,0,0,0,0
451,0,0,0,0,0,0
4762,1,0,1,0,0,0
2975,0,0,0,0,0,0
835,0,0,0,0,0,0
3395,0,0,0,0,0,0
1186,0,0,0,0,0,0
1177,0,0,0,0,0,0
2652,0,0,0,0,0,0
693,0,0,0,0,0,0
2658,0,0,0,0,0,0
257,0,0,0,0,0,0
4741,0,0,0,0,0,0
983,0,0,0,0,0,0
4768,0,0,0,0,0,0
224,0,0,0,0,0,0
526,0,0,0,0,0,0
675,0,0,0,0,0,0
2792,0,0,0,0,0,0
3451,0,0,0,0,0,0
704,0,0,0,0,0,0
3646,0,0,0,0,0,0
545,0,0,0,0,0,0
551,0,0,0,0,0,0
4734,0,0,0,0,0,0
655,0,0,0,0,0,0
4355,0,0,0,0,0,0
2763,0,0,0,0,0,0
421,0,0,0,0,0,0
216,0,0,0,0,0,0
795,0,0,0,0,0,0
2680,0,0,0,0,0,0
135,0,0,0,0,0,0
4011,0,0,0,0,0,0
4400,0,0,0,0,0,0
3400,0,0,0,0,0,0
3589,0,0,0,0,0,0
4187,0,0,0,0,0,0
908,0,0,0,0,0,0
2953,0,0,0,0,0,0
867,0,0,0,0,0,0
271,0,0,0,0,0,0
1243,0,0,0,0,0,0
1025,0,0,0,0,0,0
4077,0,0,0,0,0,0
445,0,0,0,0,0,0
656,0,0,0,0,0,0
4519,0,0,0,0,0,0
329,0,0,0,0,0,0
4620,0,0,0,0,0,0
3475,0,0,0,0,0,0
1188,0,0,0,0,0,0
120,0,0,0,0,0,0
715,0,0,0,0,0,0
4073,0,0,0,0,0,0
2590,0,0,0,0,0,0
4709,0,0,0,0,0,0
6544,0,0,0,0,0,0
5239,0,0,0,0,0,0
6284,0,0,0,0,0,0
4641,0,0,0,0,0,0
277,0,0,0,0,0,0
9638,0,0,0,0,0,0
3408,0,0,0,0,0,0
5808,0,0,0,0,0,0
5398,0,0,0,0,0,0
4356,1,0,1,0,0,0
4579,0,0,0,0,0,0
5304,0,0,0,0,0,0
5233,0,0,0,0,0,0
3869,0,0,0,0,0,0
6014,0,0,0,0,0,0
5168,0,0,0,0,0,0
767,0,0,0,0,0,0
5352,0,0,0,0,0,0
332,0,0,0,0,0,0
4775,0,0,0,0,0,0
5265,0,0,0,0,0,0
322,0,0,0,0,0,0
5256,0,0,0,0,0,0
1099,0,0,0,0,0,0
5276,0,0,0,0,0,0
535,0,0,0,0,0,0
4330,0,0,0,0,0,0
839,0,0,0,0,0,0
3452,0,0,0,0,0,0
5263,0,0,0,0,0,0
5805,0,0,0,0,0,0
7173,0,0,0,0,0,0
3480,0,0,0,0,0,0
5804,0,0,0,0,0,0
3424,0,0,0,0,0,0
556,0,0,0,0,0,0
5846,0,0,0,0,0,0
6851,0,0,0,0,0,0
5881,0,0,0,0,0,0
424,0,0,0,0,0,0
5327,0,0,0,0,0,0
4791,0,0,0,0,0,0
3863,0,0,0,0,0,0
4588,0,0,0,0,0,0
173,0,0,0,0,0,0
7134,0,0,0,0,0,0
5340,0,0,0,0,0,0
7004,0,0,0,0,0,0
6962,0,0,0,0,0,0
7585,0,0,0,0,0,0
539,0,0,0,0,0,0
4041,0,0,0,0,0,0
790,0,0,0,0,0,0
7310,0,0,0,0,0,0
555,0,0,0,0,0,0
4640,0,0,0,0,0,0
441,0,0,0,0,0,0
3373,0,0,0,0,0,0
439,0,0,0,0,0,0
5294,0,0,0,0,0,0
5888,0,0,0,0,0,0
2999,0,0,0,0,0,0
5285,0,0,0,0,0,0
413,0,0,0,0,0,0
6608,0,0,0,0,0,0
5142,1,1,0,0,0,0
5853,0,0,0,0,0,0
2904,0,0,0,0,0,0
5909,0,0,0,0,0,0
6967,0,0,0,0,0,0
1030,0,0,0,0,0,0
6994,0,0,0,0,0,0
1167,0,0,0,0,0,0
5139,0,0,0,0,0,0
7456,0,0,0,0,0,0
401,0,0,0,0,0,0
7263,0,0,0,0,0,0
3381,0,0,0,0,0,0
339,0,0,0,0,0,0
191,0,0,0,0,0,0
6969,0,0,0,0,0,0
307,0,0,0,0,0,0
997,0,0,0,0,0,0
5326,0,0,0,0,0,0
5816,0,0,0,0,0,0
4523,0,0,0,0,0,0
5247,0,0,0,0,0,0
7491,0,0,0,0,0,0
6981,0,0,0,0,0,0
7223,0,0,0,0,0,0
5863,0,0,0,0,0,0
327,0,0,0,0,0,0
4161,0,0,0,0,0,0
4371,1,0,1,0,1,0
7430,0,0,0,0,0,0
6501,0,0,0,0,0,0
5961,0,0,0,0,0,0
885,0,0,0,0,0,0
6129,0,0,0,0,0,0
5413,0,0,0,0,0,0
6148,0,0,0,0,0,0
744,0,0,0,0,0,0
4021,0,0,0,0,0,0
6222,0,0,0,0,0,0
3569,0,0,0,0,0,0
6481,0,0,0,0,0,0
7287,0,0,0,0,0,0
5191,0,0,0,0,0,0
5948,0,0,0,0,0,0
4668,0,0,0,0,0,0
5231,0,0,0,0,0,0
868,0,0,0,0,0,0
3592,0,0,0,0,0,0
1239,0,0,0,0,0,0
6236,0,0,0,0,0,0
5127,0,0,0,0,0,0
6972,0,0,0,0,0,0
2811,0,0,0,0,0,0
4639,0,0,0,0,0,0
7136,0,0,0,0,0,0
7459,0,0,0,0,0,0
5203,0,0,0,0,0,0
961,0,0,0,0,0,0
7121,0,0,0,0,0,0
7486,0,0,0,0,0,0
86,0,0,0,0,0,0
6961,0,0,0,0,0,1
6126,0,0,0,0,0,0
6210,0,0,0,0,0,0
4050,0,0,0,0,0,0
5258,0,0,0,0,0,0
3377,0,0,0,0,0,0
7298,0,0,0,0,0,0
6519,0,0,0,0,0,0
42,0,0,0,0,0,0
896,0,0,0,0,0,0
6987,0,0,0,0,0,0
3476,0,0,0,0,0,0
6142,0,0,0,0,0,0
4646,0,0,0,0,0,0
5448,0,0,0,0,0,0
5425,0,0,0,0,0,0
7499,0,0,0,0,0,0
180,0,0,0,0,0,0
6516,0,0,0,0,0,0
2933,0,0,0,0,0,0
3361,0,0,0,0,0,0
5990,0,0,0,0,0,0
4563,0,0,0,0,0,0
559,0,0,0,0,0,0
6525,0,0,0,0,0,0
3468,0,0,0,0,0,0
6139,0,0,0,0,0,0
5821,0,0,0,0,0,0
5484,0,0,0,0,0,0
5308,0,0,0,0,0,0
6230,0,0,0,0,0,0
59,0,0,0,0,0,0
7368,0,0,0,0,0,0
3681,0,0,0,0,0,0
7421,0,0,0,0,0,0
799,0,0,0,0,0,0
2994,0,0,0,0,0,0
3391,0,0,0,0,0,0
6482,0,0,0,0,0,0
7465,0,0,0,0,0,0
3868,1,0,0,1,0,0
3444,0,0,0,0,0,0
843,0,0,0,0,0,0
4733,0,0,0,0,0,0
6656,0,0,0,0,0,0
53,0,0,0,0,0,0
4642,0,0,0,0,0,0
4655,0,0,0,0,0,0
1211,0,0,0,0,0,0
7297,0,0,0,0,0,0
2645,0,0,0,0,0,0
4678,0,0,0,0,0,0
3404,0,0,0,0,0,0
7454,0,0,0,0,0,0
1128,0,0,0,0,0,0
154,0,0,0,0,0,0
901,0,0,0,0,0,0
5758,0,0,0,0,0,0
4178,0,0,0,0,0,0
970,0,0,0,0,0,0
358,0,0,0,0,0,0
464,1,0,0,1,0,0
3659,0,0,0,0,0,0
6132,0,0,0,0,0,0
253,0,0,0,0,0,0
7246,0,0,0,0,0,0
6616,0,0,0,0,0,0
1020,0,0,0,0,0,0
7132,0,0,0,0,0,0
7408,0,0,0,0,0,0
5602,0,0,0,0,0,0
7505,0,0,0,0,0,0
646,0,0,0,0,0,0
4162,0,0,0,0,0,0
876,0,0,0,0,0,0
5493,0,0,0,0,0,0
5655,0,0,0,0,0,0
6538,0,0,0,0,0,0
5994,0,0,0,0,0,0
7424,0,0,0,0,0,0
5275,0,0,0,0,0,0
6135,0,0,0,0,0,0
410,0,0,0,0,0,0
2201,0,0,0,0,0,0
7155,0,0,0,0,0,0
5841,0,0,0,0,0,0
2081,0,0,0,0,0,0
2623,0,0,0,0,0,0
6381,0,0,0,0,0,0
2356,0,0,0,0,0,0
5605,0,0,0,0,0,0
7300,0,0,0,0,0,0
3379,0,0,0,0,0,0
5472,0,0,0,0,0,1
6966,0,0,0,0,0,0
6901,0,0,0,0,0,0
418,0,0,0,0,0,0
2943,0,0,0,0,0,0
5823,0,0,0,0,0,0
1550,0,0,0,0,0,0
1504,0,0,0,0,0,0
2302,0,0,0,0,0,0
7133,0,0,0,0,0,0
5357,0,0,0,0,0,0
4554,0,0,0,0,0,0
6700,0,0,0,0,0,0
6212,0,0,0,0,0,0
6159,0,0,0,0,0,0
5511,0,0,0,0,0,0
2139,0,0,0,0,0,0
4113,0,0,0,0,0,0
3515,0,0,0,0,0,0
6211,0,0,0,0,0,0
7504,0,0,0,0,0,0
1681,0,0,0,0,0,0
7141,0,0,0,0,0,0
7237,0,0,0,0,0,0
6567,0,0,0,0,0,0
4513,0,0,0,0,0,0
5482,0,0,0,0,0,0
7479,0,0,0,0,0,0
4541,0,0,0,0,0,0
1004,0,0,0,0,0,0
3578,0,0,0,0,0,0
3178,0,0,0,0,0,0
1611,0,0,0,0,0,0
6897,0,0,0,0,0,0
5806,0,0,0,0,0,0
6172,0,0,0,0,0,0
3844,0,0,0,0,0,0
543,0,0,0,0,0,0
128,0,0,0,0,0,0
3181,0,0,0,0,0,0
4215,0,0,0,0,0,0
1027,0,0,0,0,0,0
1862,0,0,0,0,0,0
6978,0,0,0,0,0,0
2082,0,0,0,0,0,0
3193,0,0,0,0,0,0
7391,0,0,0,0,0,0
2937,0,0,0,0,0,0
7665,0,0,0,0,0,0
5978,0,0,0,0,0,0
195,1,0,0,1,0,0
7544,0,0,0,0,0,0
3778,0,0,0,0,0,0
7125,0,0,0,0,0,0
3467,0,0,0,0,0,0
532,0,0,0,0,0,0
4358,0,0,0,0,0,0
3649,0,0,0,0,0,0
7242,0,0,0,0,0,0
5424,0,0,0,0,0,0
5154,0,0,0,0,0,0
7660,0,0,0,0,0,0
4322,0,0,0,0,0,0
4663,0,0,0,0,0,0
6496,0,0,0,0,0,0
5141,0,0,0,0,0,0
6587,0,0,0,0,0,0
4380,0,0,0,0,0,0
6324,0,0,0,0,0,0
2596,0,0,0,0,0,0
6888,0,0,0,0,0,0
305,0,0,0,0,0,0
6926,0,0,0,0,0,0
2651,0,0,0,0,0,0
1888,0,0,0,0,0,0
521,0,0,0,0,0,0
1898,0,0,0,0,0,0
6922,0,0,0,0,0,0
6666,0,0,0,0,0,0
1672,0,0,0,0,0,0
6322,0,0,0,0,0,0
1181,0,0,0,0,0,0
4193,0,0,0,0,0,0
6844,0,0,0,0,0,0
6861,0,0,0,0,0,0
6617,0,0,0,0,0,0
4212,1,0,1,0,0,0
6740,0,0,0,0,0,0
5476,0,0,0,0,0,0
5392,0,0,0,0,0,0
6542,0,0,0,0,0,0
231,0,0,0,0,0,0
6971,0,0,0,0,0,0
902,0,0,0,0,0,0
6815,0,0,0,0,0,0
4635,0,0,0,0,0,0
6524,0,0,0,0,0,0
4101,0,0,0,0,0,0
971,0,0,0,0,0,0
4760,1,0,1,0,0,0
5973,0,0,0,0,0,0
4559,1,0,1,0,0,0
7539,0,0,0,0,0,0
4555,0,0,0,0,0,0
5475,0,0,0,0,0,0
7622,0,0,0,0,0,0
3782,0,0,0,0,0,0
7276,0,0,0,0,0,0
5136,0,0,0,0,0,0
1909,0,0,0,0,0,0
7438,0,0,0,0,0,0
2668,0,0,0,0,0,0
6988,0,0,0,0,0,0
2136,0,0,0,0,0,0
7402,0,0,0,0,0,0
2240,0,0,0,0,0,0
5180,0,0,0,0,0,0
6604,0,0,0,0,0,0
6979,0,0,0,0,0,0
4286,1,0,1,0,0,0
165,0,0,0,0,0,0
6121,0,0,0,0,0,0
2135,0,0,0,0,0,0
4009,0,0,0,0,0,0
5210,0,0,0,0,0,0
5984,0,0,0,0,0,0
6201,0,0,0,0,0,0
862,0,0,0,0,0,0
4076,0,0,0,0,0,0
7225,0,0,0,0,0,0
5743,0,0,0,0,0,0
297,0,0,0,0,0,0
797,0,0,0,0,0,0
8361,0,0,0,0,0,0
8337,0,0,0,0,0,0
7617,0,0,0,0,0,0
647,0,0,0,0,0,0
1616,0,0,0,0,0,0
1916,0,0,0,0,0,0
6850,0,0,0,0,0,0
8886,0,0,0,0,0,0
5926,0,0,0,0,0,0
7944,0,0,0,0,0,0
2795,0,0,0,0,0,0
1843,0,0,0,0,0,0
7148,0,0,0,0,0,0
2437,0,0,0,0,0,0
1891,0,0,0,0,0,0
7639,0,0,0,0,0,0
962,0,0,0,0,0,0
4199,0,0,0,0,0,0
7641,0,0,0,0,0,0
2233,0,0,0,0,0,0
4351,0,0,0,0,0,0
6819,0,0,0,0,0,0
8692,0,0,0,0,0,0
7715,0,0,0,0,0,0
6686,0,0,0,0,0,0
8357,0,0,0,0,0,0
7766,0,0,0,0,0,0
4495,0,0,0,0,0,0
141,0,0,0,0,0,0
7774,0,0,0,0,0,0
4232,0,0,0,0,0,0
6348,0,0,0,0,0,0
7129,0,0,0,0,0,0
900,0,0,0,0,0,0
5337,0,0,0,0,0,0
5288,0,0,0,0,0,0
1840,0,0,0,0,0,0
6810,0,0,0,0,0,0
7733,0,0,0,0,0,0
3411,0,0,0,0,0,0
7440,0,0,0,0,0,0
7306,0,0,0,0,0,0
2007,0,0,0,0,0,0
3724,0,0,0,0,0,0
5838,0,0,0,0,0,0
8242,0,0,0,0,0,0
2550,0,0,0,0,0,0
2430,0,0,0,0,0,0
2210,0,0,0,0,0,0
333,0,0,0,0,0,0
1791,0,0,0,0,0,0
1758,0,0,0,0,0,0
6723,0,0,0,0,0,0
1923,0,0,0,0,0,0
6860,0,0,0,0,0,0
3471,0,0,0,0,0,0
2181,0,0,0,0,0,0
7980,0,0,0,0,0,0
5216,0,0,0,0,0,0
6486,0,0,0,0,0,0
7492,0,0,0,0,0,0
7428,0,0,0,0,0,0
5343,0,0,0,0,0,0
8746,0,0,0,0,0,0
3387,0,0,0,0,0,0
1609,0,0,0,0,0,0
8525,0,0,0,0,0,0
4654,0,0,0,0,0,0
4399,0,0,0,0,0,0
7150,0,0,0,0,0,0
8325,0,0,0,0,0,0
2119,0,0,0,0,0,0
8760,0,0,0,0,0,0
8355,0,0,0,0,0,0
3386,0,0,0,0,0,0
7254,0,0,0,0,0,0
1059,0,0,0,0,0,0
7892,0,0,0,0,0,0
8056,0,0,0,0,0,0
777,0,0,0,0,0,0
1238,0,0,0,0,0,0
1092,0,0,0,0,0,0
4727,0,0,0,0,0,0
3126,0,0,0,0,0,0
6998,0,0,0,0,0,0
6874,0,0,0,0,0,0
8229,0,0,0,0,0,0
5661,0,0,0,0,0,0
3417,0,0,0,0,0,0
7841,0,0,0,0,0,0
8055,0,0,0,0,0,0
4532,0,0,0,0,0,0
4268,0,0,0,0,0,0
8737,0,0,0,0,0,0
996,0,0,0,0,0,0
4496,1,0,1,0,0,0
5268,0,0,0,0,0,0
5944,0,0,0,0,0,0
8321,0,0,0,0,0,0
7708,0,0,0,0,0,0
8776,0,0,0,0,0,0
5156,0,0,0,0,0,0
6930,0,0,0,0,0,0
221,0,0,0,0,0,0
3176,0,0,0,0,0,0
522,0,0,0,0,0,0
3265,0,0,0,0,0,0
8668,0,0,0,0,0,0
5980,0,0,0,0,0,0
7128,0,0,0,0,0,0
5969,0,0,0,0,0,0
3130,0,0,0,0,0,0
4492,0,0,0,0,0,0
4667,0,0,0,0,0,0
7705,0,0,0,0,0,0
3093,0,0,0,0,0,0
8797,0,0,0,0,0,0
6256,1,0,0,0,1,0
4730,1,0,1,0,1,0
4539,0,0,0,0,0,0
2288,0,0,0,0,0,0
8088,0,0,0,0,0,0
8536,0,0,0,0,0,0
8324,0,0,0,0,0,0
6263,0,0,0,0,0,0
8269,0,0,0,0,0,0
2728,0,0,0,0,0,0
8076,0,0,0,0,0,0
4746,0,0,0,0,0,0
4547,0,0,0,0,0,0
8673,0,0,0,0,0,0
8661,0,0,0,0,0,0
7688,1,1,0,0,0,0
3413,0,0,0,0,0,0
8641,0,0,0,0,0,0
6910,0,0,0,0,0,0
7775,0,0,0,0,0,0
2729,0,0,0,0,0,0
6330,0,0,0,0,0,0
6863,0,0,0,0,0,0
2116,0,0,0,0,0,0
5943,0,0,0,0,0,0
8221,0,0,0,0,0,0
1278,0,0,0,0,0,0
529,0,0,0,0,0,0
3108,0,0,0,0,0,0
5467,0,0,0,0,0,0
4042,0,0,0,0,0,0
8159,0,0,0,0,0,0
4391,0,0,0,0,0,0
96,0,0,0,0,0,0
8677,0,0,0,0,0,0
2976,0,0,0,0,0,0
7684,0,0,0,0,0,0
1690,0,0,0,0,0,0
8358,1,1,0,0,0,0
4339,0,0,0,0,0,0
2899,0,0,0,0,0,0
1919,0,0,0,0,0,0
4092,0,0,0,0,0,0
6645,0,0,0,0,0,0
8707,0,0,0,0,0,0
7659,0,0,0,0,0,0
2905,0,0,0,0,0,0
392,0,0,0,0,0,0
713,0,0,0,0,0,0
8086,0,0,0,0,0,0
2747,0,0,0,0,0,0
1185,0,0,0,0,0,0
6693,0,0,0,0,0,0
2881,0,0,0,0,0,0
1821,0,0,0,0,0,0
5504,0,0,0,0,0,0
4389,0,0,0,0,0,0
7526,0,0,0,0,0,0
1737,0,0,0,0,0,0
6576,0,0,0,0,0,0
5903,0,0,0,0,0,0
2368,0,0,0,0,0,0
1102,0,0,0,0,0,0
8730,0,0,0,0,0,0
1403,0,0,0,0,0,0
7503,0,0,0,0,0,0
4112,0,0,0,0,0,0
7156,0,0,0,0,0,0
8745,0,0,0,0,0,0
644,0,0,0,0,0,0
8201,0,0,0,0,0,0
5959,0,0,0,0,0,0
440,0,0,0,0,0,0
6257,1,1,0,0,0,0
4769,1,0,1,0,0,0
6430,0,0,0,0,0,0
7367,0,0,0,0,0,0
1313,0,0,0,0,0,0
8106,0,0,0,0,0,0
1784,0,0,0,0,0,0
5401,1,0,0,0,1,0
993,0,0,0,0,0,0
457,0,0,0,0,0,0
5465,0,0,0,0,0,0
8808,0,0,0,0,0,0
7127,0,0,0,0,0,0
7521,0,0,0,0,0,0
7112,0,0,0,0,0,0
4312,0,0,0,0,0,0
4606,0,0,0,0,0,0
8244,0,0,0,0,0,0
6244,0,0,0,0,0,0
8542,0,0,0,0,0,0
3162,0,0,0,0,0,0
8104,0,0,0,0,0,0
6940,0,0,0,0,0,0
505,0,0,0,0,0,0
8303,0,0,0,0,0,0
4006,0,0,0,0,0,0
8717,0,0,0,0,0,0
8215,0,0,0,0,0,0
8786,0,0,0,0,0,0
8080,0,0,0,0,0,0
8564,0,0,0,0,0,0
5261,0,0,0,0,0,0
8120,0,0,0,0,0,0
4174,1,0,1,0,0,0
7906,0,0,0,0,0,0
3200,0,0,0,0,0,0
5811,0,0,0,0,0,0
5202,0,0,0,0,0,0
4084,0,0,0,0,0,0
6504,0,0,0,0,0,0
8084,0,0,0,0,0,0
1866,0,0,0,0,0,0
2128,0,0,0,0,0,0
6454,0,0,0,0,0,0
1912,0,0,0,0,0,0
3217,0,0,0,0,0,0
5968,0,0,0,0,0,0
5934,0,0,0,0,0,0
8077,0,0,0,0,0,0
1497,1,0,0,1,1,0
7961,0,0,0,0,0,0
6232,0,0,0,0,0,0
557,0,0,0,0,0,0
4637,0,0,0,0,0,0
1986,0,0,0,0,0,0
1223,0,0,0,0,0,0
4613,0,0,0,0,0,0
3846,0,0,0,0,0,0
3299,0,0,0,0,0,0
2517,0,0,0,0,0,0
7929,0,0,0,0,0,0
7652,0,0,0,0,0,0
6801,0,0,0,0,0,0
5328,0,0,0,0,0,0
7113,0,0,0,0,0,0
2424,0,0,0,0,0,0
7252,0,0,0,0,0,0
4675,0,0,0,0,0,0
6914,0,0,0,0,0,1
2403,0,0,0,0,0,0
8289,0,0,0,0,0,0
2344,0,0,0,0,0,0
3758,0,0,0,0,0,0
4764,0,0,0,0,0,0
5663,0,0,0,0,0,0
8119,0,0,0,0,0,0
4608,0,0,0,0,0,0
4758,0,0,0,0,0,0
4544,0,0,0,0,0,0
3663,0,0,0,0,0,0
1606,0,0,0,0,0,0
1517,0,0,0,0,0,0
274,0,0,0,0,0,0
4499,0,0,0,0,0,0
8556,0,0,0,0,0,0
2202,0,0,0,0,0,0
6807,0,0,0,0,0,0
4534,1,0,1,0,0,0
6401,0,0,0,0,0,0
264,0,0,0,0,0,0
94,0,0,0,0,0,0
2338,0,0,0,0,0,0
2482,0,0,0,0,0,0
6158,0,0,0,0,0,0
5474,0,0,0,0,0,0
6223,0,0,0,0,0,0
2895,0,0,0,0,0,0
2137,0,0,0,0,0,0
7761,0,0,0,0,0,0
8779,0,0,0,0,0,0
1579,0,0,0,0,0,0
2810,0,0,0,0,0,0
4083,0,0,0,0,0,0
3465,0,0,0,0,0,0
494,0,0,0,0,0,0
1136,0,0,0,0,0,0
1929,0,0,0,0,0,0
1750,0,0,0,0,0,0
2078,0,0,0,0,0,0
7087,0,0,0,0,0,0
5741,0,0,0,0,0,0
7702,0,0,0,0,0,0
6996,0,0,0,0,0,0
7361,0,0,0,0,0,0
7260,0,0,0,0,0,0
7668,0,0,0,0,0,0
7790,0,0,0,0,0,0
1339,0,0,0,0,0,0
5854,0,0,0,0,0,0
6673,0,0,0,0,0,0
2615,0,0,0,0,0,0
7530,0,0,0,0,0,0
2618,0,0,0,0,0,0
1541,0,0,0,0,0,0
3893,0,0,0,0,0,0
7756,0,0,0,0,0,0
185,0,0,0,0,0,0
7874,0,0,0,0,0,0
6227,0,0,0,0,0,0
3765,0,0,0,0,0,0
8575,0,0,0,0,0,0
749,0,0,0,0,0,0
8220,0,0,0,0,0,0
8768,0,0,0,0,0,0
2484,0,0,0,0,0,0
8356,0,0,0,0,0,0
3579,0,0,0,0,0,0
776,0,0,0,0,0,0
717,0,0,0,0,0,0
3245,0,0,0,0,0,0
2064,0,0,0,0,0,0
4664,0,0,0,0,0,0
2349,0,0,0,0,0,0
1310,0,0,0,0,0,0
6973,0,0,0,0,0,0
1619,0,0,0,0,0,0
6274,0,0,0,0,0,0
448,0,0,0,0,0,0
2666,0,0,0,0,0,0
552,0,0,0,0,0,0
196,0,0,0,0,0,0
5770,0,0,0,0,0,0
1893,0,0,0,0,0,0
7691,0,0,0,0,0,0
4609,0,0,0,0,0,0
8212,0,0,0,0,0,0
