udi,air_temp_k,process_temp_k,rotational_speed_rpm,torque_nm
157,298.4,308.1,1495,46
182,298.2,308.3,1824,24.2
3446,301.6,310.6,1599,36.1
427,297.4,308.5,1501,44.9
3154,300.5,309.9,1483,49.3
4549,302.6,310.5,1511,37.2
4349,301.9,309.8,1507,44.7
4337,301.6,309.9,1423,53.6
258,298,308,1615,29.5
4222,301.9,310.6,1467,39.3
732,297.3,308.6,1431,53
378,297.4,308.2,1424,53.9
3172,300.4,309.6,1386,56.9
1026,296.2,307.3,1475,37
321,297.8,308.4,1550,38.2
335,297.5,308.1,1469,44.8
38,298.8,309.1,1439,39.2
129,299,308.6,1587,38.6
127,299,308.6,1329,60.5
3450,301.7,310.7,1605,33.3
298,298,308.5,1713,25.3
3362,301.5,310.6,1519,40.7
244,298,308.2,1442,44.1
4510,302.4,310.1,1429,43.7
2948,300.7,309.5,1592,29
351,297.6,308.3,1400,44.3
3575,301.7,310.6,1406,46
2676,299.7,309.3,1574,35.8
188,298.2,308.4,1379,43.1
808,297,307.7,1867,22.8
1248,297.2,308.5,1513,42.9
2924,300.7,309.7,1397,51.3
4601,303,311,1359,44.2
420,297.3,308.3,1501,38.2
3001,300.5,309.8,1324,72.8
995,296.2,307.2,1168,63.4
772,296.8,308,1311,58.6
855,296.3,307.3,1498,41.6
3623,302,311.3,1509,39.9
4506,302.4,310.1,1426,46.8
916,295.4,305.8,1526,38.2
2812,299.9,309.2,1761,25.6
2762,299.8,309.3,1299,65.1
883,295.7,306.2,1739,25.9
2653,299.9,309.5,1772,23.5
1161,297,307.7,1834,23.8
2784,300.2,309.6,1528,35.1
3682,302.1,311.3,1453,45.1
11,298.4,308.9,1782,23.9
3729,302.3,311.3,1457,44.5
4182,302.4,310.7,1521,40.4
914,295.5,306,1621,29.5
4560,302.7,310.7,1433,43.7
705,297.7,308.9,1516,33.7
316,297.9,308.4,1646,40.6
3655,302.1,311.4,1603,35.9
833,296.6,307.4,1521,38.6
4,298.2,308.6,1433,39.5
117,298.9,308.7,1564,34.1
325,297.8,308.5,1488,41.9
4638,303.1,311.3,1847,24.7
4612,303,311.3,1365,56.2
686,297.7,309,1636,29.7
1193,297.2,308.3,1431,43.7
910,295.5,306,1456,39.2
4784,303.7,312.5,1641,36
470,297.3,308.8,1586,32.7
737,296.9,308.3,1555,38.2
3002,300.5,309.8,1445,43.9
3875,302.6,311.7,1254,54.1
4366,302,310,1449,48.8
841,296.6,307.5,1582,37.9
81,298.8,308.8,1445,49.9
4172,302.2,310.5,1832,23.7
451,297.6,308.7,1419,41.7
4762,303.7,311.9,1332,52.7
2975,300.6,309.4,1521,37.2
835,296.6,307.4,1333,50.2
3395,301.5,310.6,1405,42.3
1186,297.3,308.4,1491,46.5
1177,297.2,308.3,1429,42
2652,299.9,309.5,2008,20.4
693,297.7,309.1,1479,42.1
2658,300,309.5,1425,40.8
257,298.1,308.3,1331,63
4741,303.3,311.5,1601,35.2
983,296.2,306.9,1516,39.1
4768,303.6,311.9,1473,50.1
224,298.4,308.6,1569,34.4
526,297.4,309.4,1466,45.5
675,297.8,309,1456,41.2
2792,300.4,309.6,1416,43.3
3451,301.6,310.6,1506,43.4
704,297.7,308.9,1479,40.9
3646,302.2,311.5,1413,43.5
545,297.5,309.4,1831,26.6
551,297.4,309.2,1698,29.4
4734,303.3,311.6,1484,44.6
655,297.8,309.2,1683,30.9
4355,302,309.8,1456,58.1
2763,299.8,309.2,1479,44.4
421,297.3,308.3,1301,39.6
216,298.3,308.6,1548,40.3
795,296.9,307.9,1547,32.6
2680,299.8,309.5,1476,44.4
135,298.8,308.4,1369,53
4011,302.1,311.1,1605,37.6
4400,302.3,310.1,1653,29.7
3400,301.4,310.7,1605,34.2
3589,301.7,310.6,1505,44.5
4187,302.2,310.6,1570,34.6
908,295.6,306.1,1669,29
2953,300.7,309.5,1667,30.5
867,295.9,306.6,1678,26.7
271,298,308,1520,39.6
1243,297.1,308.4,1468,44.4
1025,296.2,307.3,1711,29.9
4077,302,310.6,1539,37.4
445,297.4,308.4,1582,37.2
656,297.7,309.1,1435,38.8
4519,302.4,310.3,1480,45.8
329,297.6,308.4,1703,31.4
4620,303.1,311.3,2056,19.7
3475,301.9,310.8,1557,35.3
1188,297.4,308.6,1522,38
120,298.7,308.5,1467,40.7
715,297.4,308.6,1609,36.2
4073,301.9,310.6,1610,33.4
2590,299,308.7,2250,16.6
4709,303.4,311.7,1793,25.8
6544,301.4,310.8,1698,29.6
5239,303.7,313,1457,44.1
6284,301.3,310.8,1719,29.5
4641,303.1,311.2,1435,40.1
277,298,307.9,1750,26.6
9638,299.2,310.3,1463,38.9
3408,301.2,310.4,1381,49.8
5808,301.4,310.9,1489,38.9
5398,302.8,312.3,1416,42.7
4356,302,309.8,1280,57.3
4579,303,311.2,1641,32.6
5304,303.9,313.2,1481,44.1
5233,303.6,312.9,1381,57.8
3869,302.7,311.7,1759,29.9
6014,300.7,310.8,1597,30.5
5168,304.2,313.4,1639,32.7
767,296.8,308,1561,38.3
5352,303.5,312.9,1530,34.5
332,297.6,308.4,1391,51.9
4775,303.6,312,1827,23.3
5265,303.4,312.8,1376,53.4
322,297.8,308.4,1518,32.5
5256,303.5,313,1403,51.9
1099,296.9,307.4,1521,37.9
5276,303.7,313.1,1423,41.2
535,297.5,309.3,1623,33.4
4330,301.6,310,1566,30.3
839,296.6,307.4,1406,41.5
3452,301.6,310.6,1455,43.9
5263,303.4,312.8,1449,43.9
5805,301.5,310.9,1365,46.5
7173,300.1,310.1,1402,46.6
3480,301.8,310.8,1619,31
5804,301.5,310.9,1671,31.1
3424,301.4,310.4,1496,35.2
556,297.4,309.4,1539,42.2
5846,301.4,311.2,1727,26.5
6851,301,311.2,1521,35.8
5881,301.5,311.1,1434,49.6
424,297.3,308.3,1484,43.9
5327,303.5,312.7,1420,49.1
4791,303.8,312.8,1443,40.7
3863,302.5,311.5,1496,43.8
4588,302.8,311,1507,33.4
173,298.1,308,1924,20.8
7134,300.5,309.9,1552,41.3
5340,303.4,312.7,1594,32.8
7004,300.5,310.6,1540,46.7
6962,300.7,311,1378,41.2
7585,300.4,311.2,1472,37.3
539,297.4,309.3,1499,36.8
4041,302,310.8,1767,27.4
790,296.9,308,1641,33.3
7310,300,310.4,1505,44.9
555,297.5,309.4,1368,45.3
4640,303.1,311.3,1657,31.8
441,297.4,308.5,1389,39.2
3373,301.4,310.8,1431,44.3
439,297.4,308.4,1341,52.2
5294,303.9,313.4,1464,49.1
5888,301.4,311.1,1445,41.4
2999,300.5,309.7,1616,34.5
5285,303.8,313.2,1732,29.6
413,297.5,308.6,1388,48.2
6608,301.5,310.5,1556,39.1
5142,304.4,313.7,1509,35
5853,301.2,310.9,1798,22.3
2904,300.7,309.5,1733,26.7
5909,300.8,310.3,1526,36.3
6967,300.7,311,1969,20.7
1030,296.2,307.3,1477,35.2
6994,300.7,311,1740,25.6
1167,297.1,308.1,1506,37.7
5139,304.3,313.6,1489,40.3
7456,300.2,311.7,1597,39.5
401,297.4,308.5,2100,16.9
7263,300.4,310.6,1545,35.6
3381,301.4,310.7,1590,36.3
339,297.5,308.2,1563,38.2
191,298.2,308.4,1477,49.9
6969,300.9,311.2,1789,25.5
307,297.8,308.4,1374,47.1
997,296.3,307.2,1286,51.1
5326,303.5,312.7,1694,27.3
5816,301.2,311,1670,33
4523,302.5,310.5,1918,21.6
5247,303.5,313,1465,41
7491,300.4,311.8,1707,30
6981,300.8,311.3,1505,45.5
7223,299.8,309.7,1320,61.7
5863,301.4,311,1470,40.6
327,297.7,308.5,1501,41.4
4161,302,310.4,1608,33.1
4371,302,309.9,1308,57.6
7430,300,311.4,1590,33.6
6501,300.9,310,1416,46.6
5961,300.5,310.7,1606,33.5
885,295.8,306.4,1356,48
6129,300.9,311,1499,38
5413,302.9,312.6,1328,59.9
6148,301.1,311.1,2089,19.8
744,296.8,308.2,1361,53.8
4021,302.1,311,1351,49.5
6222,301.2,310.9,1359,50.8
3569,301.8,310.6,1372,54.7
6481,300.7,309.9,1775,26.6
7287,300.1,310.4,1480,37.1
5191,304.1,313.2,1452,48
5948,300.7,310.8,1465,45.2
4668,303.3,311.4,1651,30.6
5231,303.8,313.1,2117,18.6
868,295.9,306.5,1594,33.2
3592,301.7,310.5,1458,41.4
1239,297.1,308.4,1615,32.6
6236,301.3,310.9,1596,33.9
5127,304.3,313.5,1802,25.4
6972,300.7,311,1559,42.8
2811,299.8,309.1,1772,24.8
4639,303.1,311.3,1474,34.8
7136,300.5,309.9,1443,48.3
7459,300.1,311.6,1433,51.4
5203,303.7,312.7,1335,51.1
961,295.8,306.5,1534,37.9
7121,300.9,310.5,2288,16.1
7486,300.3,311.6,1595,38.8
86,299,309,1804,26.8
6961,300.7,311,1413,52
6126,300.9,310.9,1995,20.2
6210,300.7,310.6,1407,40.5
4050,301.8,310.8,1505,41.2
5258,303.5,313,1482,38.5
3377,301.5,310.8,1385,47.5
7298,300.1,310.5,1500,39.8
6519,301,310,1212,67.9
42,298.8,309.1,1368,50.8
896,295.6,306.2,1435,51.6
6987,300.7,311.1,1688,30.7
3476,301.8,310.7,1644,33.4
6142,300.8,310.8,1486,45.7
4646,303.3,311.4,1732,25.6
5448,303.1,312.8,1465,44.1
5425,302.6,312.2,1377,45.5
7499,300.2,311.8,1748,28.5
180,298.2,308.3,1304,49.8
6516,301,310,1480,43.5
2933,300.9,309.7,1460,42.1
3361,301.5,310.6,1394,46.5
5990,300.7,310.7,1507,46.1
4563,302.7,310.7,1398,57.7
559,297.5,309.4,1650,34.6
6525,301.1,310.4,1874,24.8
3468,301.8,310.7,1461,44.2
6139,300.8,310.7,1452,43
5821,301.3,311.1,1723,27.6
5484,302.6,312.1,2000,21.9
5308,304,313.3,1530,34.8
6230,301.3,310.9,2165,17.4
59,298.8,309,1661,29.5
7368,299.5,310.1,1359,61.1
3681,302.2,311.5,1744,31.2
7421,300.1,311.3,1547,40
799,296.9,307.8,1828,24.6
2994,300.5,309.8,1370,55.9
3391,301.5,310.7,1599,40.4
6482,300.7,309.8,1406,48.4
7465,300.1,311.3,1535,42.3
3868,302.7,311.6,2709,9.7
3444,301.5,310.5,1535,39
843,296.6,307.5,1566,35
4733,303.3,311.7,1539,38.5
6656,301.4,310.3,1639,32.7
53,298.8,309,1497,43.8
4642,303.1,311.3,1494,42.7
4655,303.1,311,1510,47.6
1211,297,308.1,1537,39
7297,300,310.4,1881,21.9
2645,299.8,309.4,1510,42.5
4678,303.5,311.6,1466,47
3404,301.3,310.5,1337,52.7
7454,300.3,311.7,1432,47.7
1128,296.7,307.8,1672,32.4
154,298.4,308.2,1850,27
901,295.6,306.2,1569,35.1
5758,301.9,311.3,1366,55.6
4178,302.5,310.9,1477,39.2
970,295.9,306.6,1412,41
358,297.6,308.4,1517,34.2
464,297.4,308.7,2874,4.2
3659,302.2,311.5,1449,44.5
6132,301,311,1640,37.6
253,298,308.2,1620,35.8
7246,300,310.1,1477,34.6
6616,301.7,310.6,1545,42.1
1020,296.3,307.3,1398,52.7
7132,300.5,309.8,1410,44.4
7408,299.8,310.9,1427,47.2
5602,302.9,312.2,1605,33.9
7505,300.4,311.8,1589,42
646,297.7,309.4,1392,44.1
4162,301.9,310.3,1653,32.4
876,295.8,306.3,1444,45.5
5493,302.9,312.4,1334,50.9
5655,302.3,311.6,1544,34.3
6538,301.3,310.5,1481,39.7
5994,300.7,310.6,1407,42.4
7424,300,311.3,1407,47.3
5275,303.6,313,1617,30.9
6135,301,311,1581,37
410,297.4,308.6,1459,41.3
2201,299.8,309.1,1546,35.6
7155,300.3,310.1,1483,39.9
5841,301.3,311.1,1581,30.9
2081,299.3,309.2,2280,15.4
2623,299.6,309.4,1642,30.3
6381,300.2,309.8,1430,55
2356,299.3,308.5,1305,60.6
5605,302.9,312.2,1513,37.8
7300,300.1,310.5,1492,50.9
3379,301.5,310.7,1568,33.1
5472,302.7,312.3,1346,61.2
6966,300.7,311,1312,52.1
6901,301,311.7,1670,31.3
418,297.4,308.4,1394,50.1
2943,300.7,309.5,1461,49.9
5823,301.3,311,1463,50.2
1550,298.4,308.9,1706,29.5
1504,298,308.7,1771,26.2
2302,299.2,308.6,1586,35.7
7133,300.5,309.9,1423,47.9
5357,303.3,312.6,1692,29
4554,302.6,310.5,1461,45.4
6700,301.7,310.8,1516,40.4
6212,300.8,310.6,1360,48.8
6159,301.1,311,1677,29.1
5511,302.8,312.1,1418,51.4
2139,299.3,309,1734,30.6
4113,301.9,310.5,1472,39.7
3515,301.9,311,1430,49.8
6211,300.8,310.5,1434,44.5
7504,300.3,311.7,1646,28.9
1681,297.9,307.4,1610,34.6
7141,300.5,309.9,1382,46.5
7237,299.8,310,1460,37.1
6567,301.3,310.6,1966,22.6
4513,302.5,310.3,1411,49.5
5482,302.6,312,1781,28.5
7479,300.1,311.3,1479,39.5
4541,302.5,310.4,1580,35.6
1004,296.2,307.1,1444,46.7
3578,301.6,310.4,1455,39
3178,300.2,309.5,1564,33.4
1611,297.8,307.8,1573,37.9
6897,301,311.6,1454,40
5806,301.4,310.9,1557,39.3
6172,300.8,310.6,1416,42.2
3844,302.5,311.2,1227,60.1
543,297.5,309.4,1803,24.7
128,298.9,308.6,1413,46.5
3181,300.2,309.4,1433,48.8
4215,301.9,310.6,1573,36.6
1027,296.4,307.4,1512,36.8
1862,297.9,307.6,1609,30.3
6978,300.7,311.1,2377,14.3
2082,299.4,309.3,1485,47.1
3193,300.1,309.2,1418,39.8
7391,299.7,310.5,1490,41.2
2937,300.9,309.7,1394,48.8
7665,300.5,311.7,1454,50.3
5978,300.6,310.7,1750,30.6
195,298.2,308.5,2678,10.7
7544,300.3,311.5,1446,45
3778,302.4,311.1,1721,30.1
7125,300.8,310.3,1868,24.5
3467,301.7,310.6,1447,56.9
532,297.6,309.5,1549,34.9
4358,302,309.9,1407,52.8
3649,302.2,311.5,1443,47
7242,299.9,310,1484,42.1
5424,302.6,312.3,1647,31.8
5154,304.2,313.4,1644,31.7
7660,300.5,311.6,1528,42.4
4322,301.7,310.2,1686,28.9
4663,303.3,311.2,1607,31.7
6496,300.6,309.8,1694,31.1
5141,304.3,313.6,1585,32.1
6587,301.5,310.6,1453,44
4380,301.8,309.5,1732,30.1
6324,300.7,310.1,1351,46.9
2596,298.8,308.6,1486,41.1
6888,300.8,311.3,1782,26.9
305,297.8,308.4,1737,27.5
6926,301.1,311.6,1266,55.5
2651,299.9,309.6,1280,59.3
1888,297.9,307.5,1642,32.4
521,297.6,309.5,1617,36.2
1898,297.8,307.4,1418,41.2
6922,301.1,311.6,1432,48.1
6666,301.3,310.4,1440,41.5
1672,298.1,307.9,1614,35.8
6322,300.7,310.2,1286,64.9
1181,297.3,308.4,1531,35.6
4193,302.5,311,1463,43.1
6844,301.3,311.3,1509,42.5
6861,301.1,311.2,1910,20.2
6617,301.7,310.6,1380,45.8
4212,302.1,310.7,1314,52.8
6740,301.7,311.2,1482,43.6
5476,302.7,312.2,1336,46.8
5392,302.7,312.2,1572,34.4
6542,301.4,310.7,1509,38.3
231,298.3,308.6,1570,34.8
6971,300.7,311,1436,44.9
902,295.6,306.1,1256,62.3
6815,300.8,310.6,1465,44.1
4635,303,311.2,1755,30.4
6524,301.1,310.2,1850,27.7
4101,302,310.4,1895,23.2
971,295.8,306.5,1568,35.1
4760,303.5,311.6,1361,46.5
5973,300.5,310.8,1445,46.6
4559,302.7,310.7,1369,47.5
7539,300.2,311.4,1450,38.5
4555,302.6,310.5,1748,28.2
5475,302.7,312.1,1378,46.9
7622,300.5,311.5,1490,38.4
3782,302.3,310.8,1465,43.8
7276,300.2,310.3,1514,38.7
5136,304.1,313.3,1883,24.5
1909,297.9,307.6,1977,20.2
7438,299.8,311.3,1727,30
2668,299.8,309.3,1663,35.2
6988,300.7,311.1,2437,13.8
2136,299.3,309,1511,47.8
7402,299.8,310.8,1409,51.9
2240,299.2,308.6,1381,50
5180,304,313.1,1450,42.8
6604,301.5,310.6,1403,47.4
6979,300.7,311.1,1427,50.3
4286,301.7,309.9,1317,49
165,298.5,308.3,1440,43.6
6121,300.9,311.2,1472,40
2135,299.3,309,1473,46.3
4009,302.2,311.2,1471,41.9
5210,303.8,312.7,1507,38.5
5984,300.8,310.8,1466,45.2
6201,301,310.9,1679,29.8
862,296.1,306.9,1951,23.3
4076,302,310.6,1583,38.9
7225,299.8,309.6,1598,31
5743,302.3,311.7,1414,47
297,298,308.5,1395,46.2
797,296.9,307.9,2010,18.9
8361,298.6,309.6,1540,35.8
8337,298.9,309.7,1449,48.8
7617,300.6,311.4,1468,40.4
647,297.7,309.4,1461,43.7
1616,297.8,307.9,1447,48.6
1916,298,307.7,1492,38.7
6850,301.1,311.3,1498,37.6
8886,298,309.2,1438,42.9
5926,300.2,310.1,1619,31.3
7944,300.8,311.7,1753,29
2795,300.4,309.6,1553,43.9
1843,297.7,307.1,1855,22.5
7148,300.3,309.8,1466,41.2
2437,299,308.2,1662,30.4
1891,297.8,307.4,1512,40.8
7639,300.5,311.5,1661,35.9
962,295.8,306.5,1493,40.5
4199,302.4,311.1,1432,44.5
7641,300.4,311.3,1608,35.1
2233,299.5,308.6,1672,30.5
4351,301.9,309.7,1568,37.5
6819,301,310.7,1657,29.9
8692,297.1,308.5,1555,36.2
7715,300.5,311.5,1487,43
6686,301.6,310.9,1532,43.6
8357,298.6,309.6,1344,59.4
7766,300.3,311.6,1427,56.2
4495,302.6,310.4,1649,30.1
141,298.8,308.6,1511,36.1
7774,300.3,311.4,1759,24.8
4232,302.2,310.8,1340,47.8
6348,300.2,309.7,1421,44.6
7129,300.6,310,1511,36.9
900,295.6,306.2,1329,55.3
5337,303.2,312.4,1663,33.7
5288,303.8,313.2,1506,46.9
1840,297.7,307.1,1715,30.2
6810,300.9,310.8,1490,38.1
7733,300.6,312,1430,42.7
3411,301.2,310.3,1451,39.7
7440,300,311.3,1493,41.4
7306,300,310.5,1790,25.7
2007,298.5,308.3,1381,50.5
3724,302.3,311.2,1758,24.4
5838,301.3,311.1,1834,25.4
8242,298.9,310.2,2099,20
2550,299.4,309.2,1489,42.3
2430,298.9,308.3,1432,48.9
2210,299.8,309.3,1386,49.4
333,297.6,308.3,1538,40.2
1791,298.2,307.9,1847,23.6
1758,298.1,307.4,1335,56.2
6723,301.4,310.7,1657,28.7
1923,298,307.8,1716,26.6
6860,301.1,311.3,1909,22.7
3471,301.8,310.8,1736,26.5
2181,299.6,309.2,1597,36.3
7980,301.2,312.4,1428,36.6
5216,303.7,312.7,1532,42.7
6486,300.6,309.8,1629,37.6
7492,300.4,311.8,1320,57.9
7428,300,311.4,1634,31.9
5343,303.5,312.8,1375,45.7
8746,297.4,308.6,1411,46.3
3387,301.5,310.8,1474,38.7
1609,297.8,307.7,1393,38
8525,298.3,309.4,1468,46.2
4654,303.1,311.1,1594,35.5
4399,302.3,310.1,1563,37.8
7150,300.2,309.8,1506,41.8
8325,298.7,309.5,1394,46
2119,299.3,308.9,1429,43
8760,297.5,308.7,1352,53
8355,298.6,309.6,1390,50.3
3386,301.5,310.7,1466,43.6
7254,300.3,310.5,1522,39.1
1059,296.7,307.8,1605,31.3
7892,300.8,312.5,1517,39.2
8056,300.2,311.6,1496,41.1
777,296.7,307.8,1468,39.2
1238,297.1,308.4,1502,37.3
1092,297,307.7,1447,46.4
4727,303.4,311.8,2133,18.3
3126,300.1,309.4,1694,27.4
6998,300.6,310.7,1566,38.2
6874,301,311.4,1478,39.5
8229,299.1,310.4,1422,49.3
5661,302.2,311.4,1477,41.7
3417,301.5,310.5,1435,44.6
7841,300.2,311.6,1606,31
8055,300.4,311.8,1405,47.9
4532,302.5,310.5,1520,41.2
4268,302.6,311,1520,42.8
8737,297.3,308.7,1491,40.2
996,296.3,307.3,1566,35.8
4496,302.6,310.4,1359,57.2
5268,303.5,312.9,1438,42.8
5944,300.7,310.7,1541,41.3
8321,298.8,309.7,1453,47.7
7708,300.5,311.4,1679,27.5
8776,297.5,308.6,1536,38.7
5156,304.2,313.3,1625,37.3
6930,301,311.6,1301,55
221,298.3,308.5,1416,52.7
3176,300.3,309.6,1468,44.7
522,297.5,309.4,1497,35.8
3265,301.3,310.1,1455,44.1
8668,297.5,308.8,1455,46.1
5980,300.6,310.7,1501,45.3
7128,300.6,310,1438,53.8
5969,300.4,310.8,1348,56
3130,300.1,309.6,1642,34.5
4492,302.6,310.4,1409,53.3
4667,303.3,311.5,1569,36.6
7705,300.6,311.6,1630,31.8
3093,300,309.3,2293,16.3
8797,297.2,308.3,1796,23.8
6256,301,310.5,1379,57.3
4730,303.4,311.8,1306,61
4539,302.4,310.3,1923,23.3
2288,299.4,308.6,1746,26.8
8088,300.1,311.4,1446,40.6
8536,298.6,309.5,1547,44.8
8324,298.7,309.5,1453,40.4
6263,301,310.6,1641,33.4
8269,299.2,310.8,1502,39.8
2728,299.7,309.3,1434,38.5
8076,300.4,312,1366,43
4746,303.2,311.2,1475,43.1
4547,302.5,310.4,1429,43.2
8673,297.5,308.8,1312,50.3
8661,297.4,308.5,1295,52.1
7688,300.7,311.7,2097,18.9
3413,301.3,310.3,1313,55.6
8641,297.6,308.6,1383,47.5
6910,300.8,311.2,1376,48.1
7775,300.3,311.5,1634,31.9
2729,299.7,309.3,1779,25.5
6330,300.7,310,1641,34.6
6863,301.1,311.2,1384,49.4
2116,299.4,309,1404,47.3
5943,300.7,310.7,1450,43.4
8221,298.9,310.3,1551,35.2
1278,298.2,309.4,1408,46.5
529,297.5,309.5,1553,42.4
3108,299.8,309.1,1456,39.4
5467,302.9,312.3,1426,44.7
4042,302,310.9,1539,34.2
8159,299.6,310.8,1400,40.8
4391,302.2,310.1,1421,45.4
96,299,309,1351,52.2
8677,297.3,308.5,1520,42.4
2976,300.5,309.4,1360,46.2
7684,300.7,311.7,1524,43.5
1690,297.9,307.5,1561,37.7
8358,298.5,309.5,1385,46.3
4339,301.6,309.9,1397,43.7
2899,300.6,309.5,1550,40.2
1919,298.1,307.9,1496,40
4092,302,310.4,1595,32.9
6645,301.5,310.6,1565,43.9
8707,297.2,308.6,1335,53
7659,300.4,311.6,1359,55.4
2905,300.6,309.4,2496,13.5
392,297.6,308.6,1491,38.1
713,297.5,308.7,1453,37.6
8086,300.2,311.4,1331,49.8
2747,299.7,309.2,1411,46.1
1185,297.3,308.5,1497,47.5
6693,301.8,311,1839,23.6
2881,300.7,309.5,1541,37.2
1821,298.1,307.5,1493,43.7
5504,302.6,312,1657,29.3
4389,302,309.8,1701,27.2
7526,300.1,311.5,1383,49.1
1737,298.4,307.9,1544,35.9
6576,301.4,310.5,1451,45.3
5903,300.9,310.6,1598,35.4
2368,299.3,308.5,1496,39.4
1102,296.7,307.5,1607,33.6
8730,297.3,308.7,1352,53.8
1403,298.9,310.1,1313,56.8
7503,300.3,311.7,1655,29.9
4112,302,310.6,1563,41
7156,300.2,309.9,1569,31.2
8745,297.4,308.7,1798,23
644,297.8,309.4,1495,36.5
8201,299.3,310.8,1426,42.4
5959,300.6,310.8,1533,38.5
440,297.4,308.3,1535,34.6
6257,301,310.6,1493,37.8
4769,303.6,312,1309,52.9
6430,300.2,309.8,1394,47.4
7367,299.6,310.1,1531,36.8
1313,298.9,310.1,1473,42.6
8106,300.4,311.9,1476,48.7
1784,298.3,308,1553,41
5401,302.7,312.4,1477,46.3
993,296.1,307.1,1651,35.7
457,297.3,308.7,1478,47.6
5465,302.9,312.4,1659,33.1
8808,297.4,308.6,1604,32.8
7127,300.6,310,1542,33.9
7521,300.2,311.6,1529,35.5
7112,300.8,310.4,1450,39.4
4312,301.5,310.1,1468,40.8
4606,302.9,311,1469,48.7
8244,299.1,310.4,1369,54.5
6244,301,310.4,2204,16.6
8542,298.5,309.5,1738,25.2
3162,300.4,309.8,1314,63.1
8104,300.3,311.9,1429,41.6
