chargeback_id,txn_id,account_id,merchant_id,reason_code,opened_at,resolved_at,status,related_chargeback_id
52,1490,130,10,item_not_as_described,2026-04-19T05:23:35.553Z,,split,
53,1525,172,13,fraud_card_present,2026-04-26T20:51:33.333Z,2026-05-20T20:51:33.333Z,merchant_won,
54,1568,143,17,fraud_card_not_present,2026-04-25T22:04:34.316Z,,open,
55,1577,156,17,fraud_card_not_present,2026-04-18T05:13:58.956Z,2026-05-23T05:13:58.956Z,split,
56,1617,156,7,fraud_card_present,2026-04-26T12:00:00.000Z,2026-05-07T12:00:00.000Z,merchant_won,
57,1618,156,10,fraud_card_present,2026-04-29T12:24:00.000Z,,merchant_won,
58,1682,93,14,duplicate_charge,2026-04-30T11:25:23.130Z,,cardholder_won,
59,1695,179,3,item_not_as_described,2026-05-02T21:10:06.032Z,2026-05-08T21:10:06.032Z,split,
60,1752,77,20,item_not_as_described,2026-05-05T05:38:58.094Z,,cardholder_won,
61,1770,164,5,duplicate_charge,2026-04-26T11:42:53.609Z,2026-05-14T11:42:53.609Z,split,
62,1782,200,3,item_not_as_described,2026-05-03T16:01:30.169Z,2026-05-14T16:01:30.169Z,open,
63,1783,42,4,fraud_card_present,2026-04-24T16:33:41.085Z,2026-05-17T16:33:41.085Z,merchant_won,
64,1892,88,17,fraud_card_not_present,2026-05-08T01:23:39.000Z,2026-05-11T01:23:39.000Z,split,
65,1893,88,11,fraud_card_present,2026-05-08T01:24:30.000Z,2026-05-31T01:24:30.000Z,split,
66,1899,110,24,fraud_card_present,2026-05-03T02:14:04.110Z,2026-05-11T02:14:04.110Z,merchant_won,
67,1964,3,11,fraud_card_not_present,2026-05-03T23:00:31.541Z,2026-06-06T23:00:31.541Z,open,
68,1976,85,7,item_not_as_described,2026-05-12T08:03:23.323Z,2026-06-11T08:03:23.323Z,split,
69,1983,3,3,fraud_card_not_present,2026-05-11T12:00:00.000Z,,cardholder_won,
70,2023,80,6,duplicate_charge,2026-05-07T10:53:24.199Z,,merchant_won,
71,2051,42,6,fraud_card_present,2026-05-09T04:59:30.428Z,,merchant_won,
72,2088,88,3,fraud_card_not_present,2026-05-06T12:00:00.000Z,2026-06-06T12:00:00.000Z,merchant_won,
73,2094,191,2,item_not_as_described,2026-05-11T13:46:39.666Z,2026-05-29T13:46:39.666Z,cardholder_won,
74,2125,198,10,item_not_as_described,2026-05-06T06:23:32.339Z,2026-05-22T06:23:32.339Z,open,
75,2150,66,16,item_not_as_described,2026-05-09T05:28:39.933Z,2026-05-23T05:28:39.933Z,split,
76,2152,23,7,fraud_card_present,2026-05-16T06:59:44.747Z,,cardholder_won,
